Date,Time,Team 1,Team 2,TV
11 June,20:00,Mexico,South Africa,ITV
12 June,03:00,South Korea,Czech Republic,ITV
12 June,20:00,Canada,Bosnia-Herzegovina,BBC
13 June,02:00,USA,Paraguay,BBC
13 June,20:00,Qatar,Switzerland,ITV
13 June,23:00,Brazil,Morocco,BBC
14 June,02:00,Haiti,Scotland,BBC
14 June,05:00,Australia,Turkey,ITV
14 June,18:00,Germany,Curacao,ITV
14 June,21:00,Netherlands,Japan,ITV
15 June,00:00,Ivory Coast,Ecuador,BBC
15 June,03:00,Sweden,Tunisia,ITV
15 June,17:00,Spain,Cape Verde,ITV
15 June,20:00,Belgium,Egypt,BBC
15 June,23:00,Saudi Arabia,Uruguay,ITV
16 June,02:00,Iran,New Zealand,BBC
16 June,20:00,France,Senegal,BBC
16 June,23:00,Iraq,Norway,BBC
17 June,02:00,Argentina,Algeria,ITV
17 June,05:00,Austria,Jordan,BBC
17 June,18:00,Portugal,DR Congo,BBC
17 June,21:00,England,Croatia,ITV
18 June,00:00,Ghana,Panama,ITV
18 June,03:00,Uzbekistan,Colombia,BBC
18 June,17:00,Czech Republic,South Africa,BBC
18 June,20:00,Switzerland,Bosnia-Herzegovina,ITV
18 June,23:00,Canada,Qatar,ITV
19 June,02:00,Mexico,South Korea,BBC
19 June,20:00,USA,Australia,BBC
19 June,23:00,Scotland,Morocco,ITV
20 June,01:30,Brazil,Haiti,ITV
20 June,04:00,Turkey,Paraguay,ITV
20 June,18:00,Netherlands,Sweden,BBC
20 June,21:00,Germany,Ivory Coast,ITV
21 June,01:00,Curacao,Ecuador,BBC
21 June,05:00,Japan,Tunisia,BBC
21 June,17:00,Spain,Saudi Arabia,BBC
21 June,20:00,Belgium,Iran,ITV
21 June,23:00,Cape Verde,Uruguay,BBC
22 June,02:00,Egypt,New Zealand,ITV
22 June,18:00,Argentina,Austria,BBC
22 June,22:00,France,Iraq,BBC
23 June,01:00,Senegal,Norway,ITV
23 June,04:00,Algeria,Jordan,ITV
23 June,18:00,Portugal,Uzbekistan,ITV
23 June,21:00,England,Ghana,BBC
24 June,00:00,Croatia,Panama,BBC
24 June,03:00,Colombia,DR Congo,ITV
24 June,20:00,Canada,Switzerland,ITV
24 June,20:00,Bosnia-Herzegovina,Qatar,ITV
24 June,23:00,Scotland,Brazil,BBC
24 June,23:00,Morocco,Haiti,BBC
25 June,02:00,Czech Republic,Mexico,BBC
25 June,02:00,South Africa,South Korea,BBC
25 June,21:00,Ecuador,Germany,BBC
25 June,21:00,Curacao,Ivory Coast,BBC
26 June,00:00,Japan,Sweden,BBC
26 June,00:00,Tunisia,Netherlands,BBC
26 June,03:00,Turkey,USA,ITV
26 June,03:00,Paraguay,Australia,ITV
26 June,20:00,Norway,France,ITV
26 June,20:00,Senegal,Iraq,ITV
27 June,01:00,Cape Verde,Saudi Arabia,ITV
27 June,01:00,Uruguay,Spain,ITV
27 June,04:00,Egypt,Iran,BBC
27 June,04:00,New Zealand,Belgium,BBC
27 June,22:00,Panama,England,ITV
27 June,22:00,Croatia,Ghana,ITV
28 June,00:30,Colombia,Portugal,BBC
28 June,00:30,DR Congo,Uzbekistan,BBC
28 June,03:00,Algeria,Austria,BBC
28 June,03:00,Jordan,Argentina,BBC